timestamp,name,value,min,max
2015-12-09 05:01:57.118000,pH,8.16,8.1,8.4
2015-12-09 05:01:57.118000,Salinity,1.0317,1.023,1.027
2015-12-09 05:01:57.118000,Temperature,76.78,72,78
2015-12-09 06:06:57.323000,pH,8.12,8.1,8.4
2015-12-09 06:06:57.323000,Salinity,1.0317,1.023,1.027
2015-12-09 06:06:57.323000,Temperature,76.65,72,78
2015-12-09 02:46:56.856000,pH,8.19,8.1,8.4
2015-12-09 02:46:56.856000,Salinity,1.0313,1.023,1.027
2015-12-09 02:46:56.856000,Temperature,76.66,72,78
2015-12-09 02:56:56.811000,pH,8.19,8.1,8.4
2015-12-09 02:56:56.811000,Salinity,1.0317,1.023,1.027
2015-12-09 02:56:56.811000,Temperature,76.78,72,78
2015-12-09 06:26:57.355000,pH,8.12,8.1,8.4
2015-12-09 06:26:57.355000,Salinity,1.0317,1.023,1.027
2015-12-09 06:26:57.355000,Temperature,76.66,72,78
2015-12-09 03:31:56.965000,pH,8.19,8.1,8.4
2015-12-09 03:31:56.965000,Salinity,1.0317,1.023,1.027
2015-12-09 03:31:56.965000,Temperature,76.89,72,78
2015-12-09 04:06:57.055000,pH,8.18,8.1,8.4
2015-12-09 04:06:57.055000,Salinity,1.0317,1.023,1.027
2015-12-09 04:06:57.055000,Temperature,76.89,72,78
2015-12-09 03:11:56.896000,pH,8.19,8.1,8.4
2015-12-09 03:11:56.896000,Salinity,1.0317,1.023,1.027
2015-12-09 03:11:56.896000,Temperature,76.85,72,78
2015-12-09 03:41:58.443000,pH,8.19,8.1,8.4
2015-12-09 03:41:58.443000,Salinity,1.0317,1.023,1.027
2015-12-09 03:41:58.443000,Temperature,76.89,72,78
2015-12-09 03:56:56.958000,pH,8.18,8.1,8.4
2015-12-09 03:56:56.958000,Salinity,1.0317,1.023,1.027
2015-12-09 03:56:56.958000,Temperature,76.89,72,78
2015-12-09 04:41:57.047000,pH,8.16,8.1,8.4
2015-12-09 04:41:57.047000,Salinity,1.0317,1.023,1.027
2015-12-09 04:41:57.047000,Temperature,76.81,72,78
2015-12-09 06:11:57.754000,pH,8.12,8.1,8.4
2015-12-09 06:11:57.754000,Salinity,1.0317,1.023,1.027
2015-12-09 06:11:57.754000,Temperature,76.66,72,78
2015-12-09 04:21:56.969000,pH,8.17,8.1,8.4
2015-12-09 04:21:56.969000,Salinity,1.0317,1.023,1.027
2015-12-09 04:21:56.969000,Temperature,76.84,72,78
2015-12-09 05:26:57.159000,pH,8.14,8.1,8.4
2015-12-09 05:26:57.159000,Salinity,1.0317,1.023,1.027
2015-12-09 05:26:57.159000,Temperature,76.74,72,78
2015-12-09 02:51:56.826000,pH,8.19,8.1,8.4
2015-12-09 02:51:56.826000,Salinity,1.0316,1.023,1.027
2015-12-09 02:51:56.826000,Temperature,76.78,72,78
2015-12-09 03:01:56.749000,pH,8.19,8.1,8.4
2015-12-09 03:01:56.749000,Salinity,1.0317,1.023,1.027
2015-12-09 03:01:56.749000,Temperature,76.81,72,78
2015-12-09 03:26:57.033000,pH,8.19,8.1,8.4
2015-12-09 03:26:57.033000,Salinity,1.0317,1.023,1.027
2015-12-09 03:26:57.033000,Temperature,76.89,72,78
2015-12-09 03:36:56.953000,pH,8.19,8.1,8.4
2015-12-09 03:36:56.953000,Salinity,1.0317,1.023,1.027
2015-12-09 03:36:56.953000,Temperature,76.89,72,78
2015-12-09 03:46:56.854000,pH,8.19,8.1,8.4
2015-12-09 03:46:56.854000,Salinity,1.0317,1.023,1.027
2015-12-09 03:46:56.854000,Temperature,76.89,72,78
2015-12-09 04:01:56.896000,pH,8.18,8.1,8.4
2015-12-09 04:01:56.896000,Salinity,1.0317,1.023,1.027
2015-12-09 04:01:56.896000,Temperature,76.88,72,78
2015-12-09 04:11:57.250000,pH,8.18,8.1,8.4
2015-12-09 04:11:57.250000,Salinity,1.0317,1.023,1.027
2015-12-09 04:11:57.250000,Temperature,76.88,72,78
2015-12-09 02:36:56.647000,pH,8.19,8.1,8.4
2015-12-09 02:36:56.647000,Salinity,1.0308,1.023,1.027
2015-12-09 02:36:56.647000,Temperature,76.55,72,78
2015-12-09 04:31:57.033000,pH,8.17,8.1,8.4
2015-12-09 04:31:57.033000,Salinity,1.0317,1.023,1.027
2015-12-09 04:31:57.033000,Temperature,76.8,72,78
2015-12-09 04:36:57.222000,pH,8.16,8.1,8.4
2015-12-09 04:36:57.222000,Salinity,1.0317,1.023,1.027
2015-12-09 04:36:57.222000,Temperature,76.87,72,78
2015-12-09 06:21:57.514000,pH,8.12,8.1,8.4
2015-12-09 06:21:57.514000,Salinity,1.0317,1.023,1.027
2015-12-09 06:21:57.514000,Temperature,76.64,72,78
2015-12-09 02:41:56.705000,pH,8.2,8.1,8.4
2015-12-09 02:41:56.705000,Salinity,1.0311,1.023,1.027
2015-12-09 02:41:56.705000,Temperature,76.66,72,78
2015-12-09 03:21:56.870000,pH,8.19,8.1,8.4
2015-12-09 03:21:56.870000,Salinity,1.0317,1.023,1.027
2015-12-09 03:21:56.870000,Temperature,76.88,72,78
2015-12-09 03:51:56.920000,pH,8.19,8.1,8.4
2015-12-09 03:51:56.920000,Salinity,1.0317,1.023,1.027
2015-12-09 03:51:56.920000,Temperature,76.94,72,78
2015-12-09 04:16:56.938000,pH,8.18,8.1,8.4
2015-12-09 04:16:56.938000,Salinity,1.0317,1.023,1.027
2015-12-09 04:16:56.938000,Temperature,76.84,72,78
2015-12-09 04:46:57.037000,pH,8.16,8.1,8.4
2015-12-09 04:46:57.037000,Salinity,1.0317,1.023,1.027
2015-12-09 04:46:57.037000,Temperature,76.79,72,78
2015-12-09 05:06:57.147000,pH,8.15,8.1,8.4
2015-12-09 05:06:57.147000,Salinity,1.0317,1.023,1.027
2015-12-09 05:06:57.147000,Temperature,76.78,72,78
2015-12-09 03:06:56.733000,pH,8.19,8.1,8.4
2015-12-09 03:06:56.733000,Salinity,1.0317,1.023,1.027
2015-12-09 03:06:56.733000,Temperature,76.88,72,78
2015-12-09 03:16:56.953000,pH,8.19,8.1,8.4
2015-12-09 03:16:56.953000,Salinity,1.0317,1.023,1.027
2015-12-09 03:16:56.953000,Temperature,76.88,72,78
2015-12-09 05:21:57.116000,pH,8.14,8.1,8.4
2015-12-09 05:21:57.116000,Salinity,1.0317,1.023,1.027
2015-12-09 05:21:57.116000,Temperature,76.71,72,78
2015-12-09 05:41:57.283000,pH,8.14,8.1,8.4
2015-12-09 05:41:57.283000,Salinity,1.0317,1.023,1.027
2015-12-09 05:41:57.283000,Temperature,76.69,72,78
2015-12-09 04:26:56.970000,pH,8.17,8.1,8.4
2015-12-09 04:26:56.970000,Salinity,1.0317,1.023,1.027
2015-12-09 04:26:56.970000,Temperature,76.84,72,78
2015-12-09 04:51:57.064000,pH,8.16,8.1,8.4
2015-12-09 04:51:57.064000,Salinity,1.0317,1.023,1.027
2015-12-09 04:51:57.064000,Temperature,76.82,72,78
2015-12-09 04:56:57.336000,pH,8.16,8.1,8.4
2015-12-09 04:56:57.336000,Salinity,1.0317,1.023,1.027
2015-12-09 04:56:57.336000,Temperature,76.78,72,78
2015-12-09 05:46:57.246000,pH,8.13,8.1,8.4
2015-12-09 05:46:57.246000,Salinity,1.0317,1.023,1.027
2015-12-09 05:46:57.246000,Temperature,76.7,72,78
2015-12-09 06:16:57.311000,pH,8.12,8.1,8.4
2015-12-09 06:16:57.311000,Salinity,1.0317,1.023,1.027
2015-12-09 06:16:57.311000,Temperature,76.63,72,78
2015-12-09 05:36:57.160000,pH,8.14,8.1,8.4
